numeric_index	categorical_value
213	elicited macrophage
214	embryonic fibroblast
215	embryonic stem cell
216	endocardial cell
217	endocrine cell
218	endosteal cell
219	endothelial cell
220	endothelial cell of artery
221	endothelial cell of hepatic sinusoid
222	endothelial cell of lymphatic vessel
223	endothelial cell of pericentral hepatic sinusoid
224	endothelial cell of periportal hepatic sinusoid
225	endothelial cell of placenta
226	endothelial cell of sinusoid
227	endothelial cell of uterus
228	endothelial cell of vascular tree
229	endothelial cell of venule
230	endothelial tip cell
231	enteric neuron
232	enteric smooth muscle cell
233	enterocyte
234	enterocyte of colon
235	enterocyte of epithelium of large intestine
236	enterocyte of epithelium of small intestine
237	enteroendocrine cell
238	enteroendocrine cell of colon
239	enteroendocrine cell of small intestine
240	enucleate erythrocyte
241	enucleated reticulocyte
242	eosinophil
243	ependymal cell
244	epicardial adipocyte
245	epidermal Langerhans cell
246	epidermal cell
247	epithelial cell
248	epithelial cell of alveolus of lung
249	epithelial cell of esophagus
250	epithelial cell of exocrine pancreas
251	epithelial cell of lacrimal sac
252	epithelial cell of lower respiratory tract
253	epithelial cell of lung
254	epithelial cell of nephron
255	epithelial cell of prostate
256	epithelial cell of proximal tubule
257	epithelial cell of proximal tubule segment 1
258	epithelial cell of proximal tubule segment 3
259	epithelial cell of small intestine
260	epithelial cell of stratum germinativum of esophagus
261	epithelial cell of sweat gland
262	epithelial cell of thymus
263	epithelial cell of urethra
264	epithelial cell of uterus
265	erythroblast
266	erythrocyte
267	erythroid lineage cell
268	erythroid progenitor cell
269	erythroid progenitor cell, mammalian
270	eurydendroid cell
271	exhausted T cell
272	extravillous trophoblast
273	eye photoreceptor cell
274	fast muscle cell
275	fetal cardiomyocyte
276	fibro/adipogenic progenitor cell
277	fibroblast
278	fibroblast of breast
279	fibroblast of cardiac tissue
280	fibroblast of connective tissue of glandular part of prostate
281	fibroblast of connective tissue of nonglandular part of prostate
282	fibroblast of lung
283	fibroblast of mammary gland
284	flat midget bipolar cell
285	follicular B cell
286	follicular dendritic cell
287	forebrain neuroblast
288	forebrain radial glial cell
289	foveolar cell of stomach
290	fraction A pre-pro B cell
291	gamma-delta T cell
292	ganglion interneuron
293	germ cell
294	germinal center B cell
295	giant bipolar cell
296	glandular cell of esophagus
297	glandular epithelial cell
298	glial cell
299	glioblast
300	glomerular capillary endothelial cell
301	glomerular endothelial cell
302	glutamatergic neuron
303	glycinergic amacrine cell
304	goblet cell
305	granular cell of epidermis
306	granule cell
307	granulocyte
308	granulocyte monocyte progenitor cell
309	granulosa cell
310	group 2 innate lymphoid cell
311	group 2 innate lymphoid cell, human
312	group 3 innate lymphoid cell
313	group 3 innate lymphoid cell, human
314	gut endothelial cell
315	hair follicular keratinocyte
316	helper T cell
317	hematopoietic cell
318	hematopoietic multipotent progenitor cell
319	hematopoietic precursor cell
320	hematopoietic stem cell
321	hepatic pit cell
322	hepatic stellate cell
323	hepatoblast
324	hepatocyte
325	immature B cell
326	immature NK T cell
327	immature Schwann cell
328	immature alpha-beta T cell
329	immature astrocyte
330	immature innate lymphoid cell
331	immature natural killer cell
332	indirect pathway medium spiny neuron
333	inflammatory cell
334	inflammatory macrophage
335	inhibitory interneuron
336	inhibitory motor neuron
337	innate lymphoid cell
338	intermediate monocyte
339	interneuron
340	interstitial cell of Cajal
341	interstitial cell of ovary
342	intestinal crypt stem cell
343	intestinal crypt stem cell of colon
344	intestinal crypt stem cell of large intestine
345	intestinal crypt stem cell of small intestine
346	intestinal enteroendocrine cell
347	intestinal epithelial cell
348	intestinal tuft cell
349	intestine goblet cell
350	intraepithelial lymphocyte
351	intrahepatic cholangiocyte
352	invaginating midget bipolar cell
353	ionocyte
354	keratinocyte
355	keratocyte
356	kidney capillary endothelial cell
357	kidney cell
358	kidney collecting duct cell
359	kidney collecting duct intercalated cell
360	kidney collecting duct principal cell
361	kidney connecting tubule epithelial cell
362	kidney connecting tubule principal cell
363	kidney distal convoluted tubule epithelial cell
364	kidney epithelial cell
365	kidney interstitial alternatively activated macrophage
366	kidney interstitial cell
367	kidney interstitial fibroblast
368	kidney loop of Henle ascending limb epithelial cell
369	kidney loop of Henle epithelial cell
370	kidney loop of Henle thick ascending limb epithelial cell
371	kidney loop of Henle thin ascending limb epithelial cell
372	kidney loop of Henle thin descending limb epithelial cell
373	kidney resident macrophage
374	lactocyte
375	lamp5 GABAergic cortical interneuron
376	large intestine goblet cell
377	large pre-B-II cell
378	late pro-B cell
379	late promyelocyte
380	lens epithelial cell
381	lens fiber cell
382	leukocyte
383	liver dendritic cell
384	luminal adaptive secretory precursor cell of mammary gland
385	luminal cell of prostate epithelium
386	luminal epithelial cell of mammary gland
387	luminal hormone-sensing cell of mammary gland
388	lung ciliated cell
389	lung goblet cell
390	lung interstitial macrophage
391	lung macrophage
392	lung microvascular endothelial cell
393	lung neuroendocrine cell
394	lung perichondrial fibroblast
395	lung pericyte
396	lung resident memory CD4-positive, alpha-beta T cell
397	lung resident memory CD8-positive, alpha-beta T cell
398	lung secretory cell
399	lymphocyte
400	lymphoid lineage restricted progenitor cell
401	macroglial cell
402	macrophage
403	macrophage dendritic cell progenitor
404	malignant cell
405	mammary gland epithelial cell
406	mast cell
407	mature B cell
408	mature NK T cell
409	mature T cell
410	mature alpha-beta T cell
411	mature astrocyte
412	mature conventional dendritic cell
413	mature gamma-delta T cell
414	mature microglial cell
415	medium spiny neuron
416	medullary thymic epithelial cell
417	megakaryocyte
418	megakaryocyte progenitor cell
419	megakaryocyte-erythroid progenitor cell
420	melanocyte
421	melanocyte of skin
422	memory B cell
423	memory T cell
424	memory regulatory T cell
425	meningeal macrophage
426	mesangial cell
427	mesenchymal cell
428	mesenchymal lymphangioblast
429	mesenchymal stem cell
430	mesodermal cell
431	mesothelial cell
432	mesothelial cell of epicardium
433	mesothelial cell of pleura
434	mesothelial fibroblast
435	metallothionein-positive alveolar macrophage
436	microfold cell of epithelium of small intestine
437	microglial cell
438	midget ganglion cell of retina
439	midzonal region hepatocyte
440	migratory enteric neural crest cell
441	monocyte
442	monocyte-derived dendritic cell
443	mononuclear cell
444	mononuclear phagocyte
445	motor neuron
446	mucosal invariant T cell
447	mucous neck cell
448	mucus secreting cell
449	multi-ciliated epithelial cell
450	mural cell
451	muscle cell
452	muscle precursor cell
453	myelinating Schwann cell
454	myelocyte
455	myeloid cell
456	myeloid dendritic cell
457	myeloid dendritic cell, human
458	myeloid leukocyte
459	myeloid lineage restricted progenitor cell
460	myoblast
461	myoepithelial cell
462	myoepithelial cell of mammary gland
463	myofibroblast cell
464	myometrial cell
465	naive B cell
466	naive T cell
467	naive regulatory T cell
468	naive thymus-derived CD4-positive, alpha-beta T cell
469	naive thymus-derived CD8-positive, alpha-beta T cell
470	nasal mucosa goblet cell
471	natural T-regulatory cell
472	natural killer cell
473	near-projecting glutamatergic cortical neuron
474	neoplastic cell
475	neural cell
476	neural crest cell
477	neural progenitor cell
478	neuroblast (sensu Vertebrata)
479	neuroendocrine cell
480	neuron
481	neuron associated cell
482	neuron associated cell (sensu Vertebrata)
483	neuronal brush cell
484	neuronal receptor cell
485	neutrophil
486	neutrophil progenitor cell
487	non-classical monocyte
488	non-myelinating Schwann cell
489	non-pigmented ciliary epithelial cell
490	non-terminally differentiated cell
491	noradrenergic cell
492	oligodendrocyte
493	oligodendrocyte precursor cell
494	osteoblast
495	osteoclast
496	ovarian surface epithelial cell
497	pancreatic A cell
498	pancreatic D cell
499	pancreatic PP cell
500	pancreatic acinar cell
501	pancreatic ductal cell
502	pancreatic endocrine cell
503	pancreatic epsilon cell
504	pancreatic stellate cell
505	paneth cell
506	paneth cell of colon
507	paneth cell of epithelium of small intestine
508	papillary tips cell
509	parasol ganglion cell of retina
510	parietal cell
511	parietal epithelial cell
512	peptic cell
513	pericyte
514	peripheral blood mononuclear cell
515	peripheral nervous system neuron
516	periportal region hepatocyte
517	perivascular cell
518	photoreceptor cell
519	pigmented ciliary epithelial cell
520	pigmented epithelial cell
521	placental villous trophoblast
522	plasma cell
523	plasmablast
524	plasmacytoid dendritic cell
525	plasmacytoid dendritic cell, human
526	platelet
527	pneumocyte
528	podocyte
529	pre-B-I cell
530	pre-conventional dendritic cell
531	pre-natural killer cell
532	preadipocyte
533	precursor B cell
534	precursor cell
535	preosteoblast
536	prickle cell
537	primary cultured cell
538	primary sensory neuron (sensu Teleostei)
539	primitive red blood cell
540	primordial germ cell
541	pro-B cell
542	pro-T cell
543	proerythroblast
544	professional antigen presenting cell
545	progenitor cell
546	progenitor cell of endocrine pancreas
547	progenitor cell of mammary luminal epithelium
548	promonocyte
549	promyelocyte
550	prostate gland microvascular endothelial cell
551	pulmonary artery endothelial cell
552	pulmonary interstitial fibroblast
553	pulmonary ionocyte
554	pvalb GABAergic cortical interneuron
555	radial glial cell
556	regular atrial cardiac myocyte
557	regular ventricular cardiac myocyte
558	regulatory T cell
559	renal alpha-intercalated cell
560	renal beta-intercalated cell
561	renal intercalated cell
562	renal interstitial pericyte
563	renal principal cell
564	respiratory basal cell
565	respiratory epithelial cell
566	respiratory goblet cell
567	respiratory hillock cell
568	respiratory suprabasal cell
569	reticular cell
570	reticulocyte
571	retina horizontal cell
572	retinal astrocyte
573	retinal bipolar neuron
574	retinal blood vessel endothelial cell
575	retinal cone cell
576	retinal ganglion cell
577	retinal pigment epithelial cell
578	retinal rod cell
579	rod bipolar cell
580	salivary gland cell
581	sebaceous gland cell
582	sebum secreting cell
583	secondary lens fiber
584	secretory cell
585	sensory neuron
586	serous cell of epithelium of bronchus
587	serous cell of epithelium of trachea
588	serous secreting cell
589	serous secreting cell of bronchus submucosal gland
590	skeletal muscle fiber
591	skeletal muscle fibroblast
592	skeletal muscle satellite cell
593	skeletal muscle satellite stem cell
594	skin fibroblast
595	slow muscle cell
596	small intestine goblet cell
597	small pre-B-II cell
598	smooth muscle cell
599	smooth muscle cell of prostate
600	smooth muscle cell of sphincter of pupil
601	smooth muscle cell of the pulmonary artery
602	smooth muscle myoblast
603	sncg GABAergic cortical interneuron
604	sperm
605	squamous epithelial cell
606	sst GABAergic cortical interneuron
607	sst chodl GABAergic cortical interneuron
608	starburst amacrine cell
609	stellate neuron
610	stem cell
611	stem cell of epidermis
612	stratified epithelial cell
613	stromal cell
614	stromal cell of endometrium
615	stromal cell of ovary
616	subcutaneous adipocyte
617	supporting cell
618	suprabasal keratinocyte
619	surface ectodermal cell
620	sympathetic neuron
621	syncytiotrophoblast cell
622	taste receptor cell
623	tendon cell
624	theca cell
625	thymocyte
626	thyroid follicular cell
627	tongue muscle cell
628	tonsil germinal center B cell
629	tracheal goblet cell
630	tracheobronchial goblet cell
631	tracheobronchial serous cell
632	tracheobronchial smooth muscle cell
633	transit amplifying cell
634	transit amplifying cell of colon
635	transit amplifying cell of small intestine
636	transitional stage B cell
637	trophoblast giant cell
638	tuft cell of colon
639	type A enteroendocrine cell
640	type B pancreatic cell
641	type D enteroendocrine cell
642	type EC enteroendocrine cell
643	type G enteroendocrine cell
644	type I NK T cell
645	type I enteroendocrine cell
646	type I pneumocyte
647	type II pneumocyte
648	type L enteroendocrine cell
649	type N enteroendocrine cell
650	unipolar brush cell
651	unknown
652	unswitched memory B cell
653	urothelial cell
654	uterine smooth muscle cell
655	vasa recta ascending limb cell
656	vasa recta descending limb cell
657	vascular associated smooth muscle cell
658	vascular leptomeningeal cell
659	vascular lymphangioblast
660	vein endothelial cell
661	ventricular cardiac muscle cell
662	vip GABAergic cortical interneuron
663	visceromotor neuron
