h5ad_var	index
SERPINB1	405
CYP3A43	406
SLC7A9	407
SPAST	408
NRXN3	409
OSBPL5	410
AQR	411
CPS1	412
C8B	413
FHL1	414
RTF2	415
GABRA1	416
NLRP2	417
SLC45A4	418
RNF10	419
ZNF839	420
ZDHHC6	421
GRAMD1B	422
RNH1	423
NDUFS1	424
RB1CC1	425
ERP44	426
ALAS1	427
BIRC3	428
AKAP11	429
GLRX2	430
SNAPC1	431
DERA	432
STRAP	433
ABCC2	434
DEF6	435
PLEKHO1	436
GCLM	437
UBR2	438
EHD2	439
DEPDC1	440
CCDC28A	441
RRAGD	442
HSF2	443
PHF20	444
HSD17B6	445
NR1H3	446
TYMP	447
NCAPH2	448
TOMM34	449
SEC63	450
KPNA6	451
VIM	452
RTEL1-TNFRSF6B	453
FAS	454
RNASET2	455
CD44	456
KCNG1	457
AGPAT4	458
SLAMF7	459
BTN3A1	460
MIPEP	461
PRKCH	462
INSRR	463
IFNGR1	464
B4GALT7	465
SH2D2A	466
VRK2	467
TNFRSF1B	468
VEZT	469
POU2F2	470
BRD9	471
SNX1	472
TBPL1	473
BMAL2	474
BCLAF1	475
SLC39A9	476
ANK1	477
IBSP	478
TFB1M	479
RABEP1	480
HMGB3	481
NUP160	482
BAK1	483
MUSK	484
IKZF2	485
GRN	486
FAM13B	487
ARHGAP31	488
CENPQ	489
SARS1	490
RANBP3	491
ARID4A	492
EIPR1	493
PNPLA6	494
IFT88	495
ALG1	496
ZCCHC8	497
ABCF2	498
CHPF2	499
LRRC7	500
FUT8	501
UBA6	502
GAB2	503
ATP6V0A1	504
PIAS1	505
SLC4A7	506
APBA2	507
MAP2K3	508
CLXN	509
TMSB10	510
ASTE1	511
RNF19A	512
PEX3	513
GABARAPL2	514
MYOC	515
SH3YL1	516
FAM136A	517
VCL	518
DEPDC1B	519
DAPK2	520
NSMAF	521
ADSS2	522
STAP1	523
TIMP2	524
RFC1	525
TBC1D23	526
CUL3	527
MYOM2	528
OTC	529
CYP46A1	530
ZZZ3	531
SLC18A1	532
USP2	533
CASR	534
TUBG2	535
RPL26L1	536
FLT4	537
NSUN2	538
FBXO42	539
MFAP3	540
MRI1	541
METTL1	542
