gene_id	gene_name	number_of_cells_expressed
ENSG00000132669	RIN2	3447250
ENSG00000151917	BEND6	3447222
ENSG00000011304	PTBP1	3446683
ENSG00000164815	ORC5	3445974
ENSG00000172456	FGGY	3444612
ENSG00000152954	NRSN1	3444242
ENSG00000072832	CRMP1	3444190
ENSG00000074590	NUAK1	3443609
ENSG00000142856	ITGB3BP	3443435
ENSG00000026297	RNASET2	3443226
ENSG00000078269	SYNJ2	3442929
ENSG00000115806	GORASP2	3442382
ENSG00000058335	RASGRF1	3442204
ENSG00000182674	KCNB2	3441528
ENSG00000189091	SF3B3	3441130
ENSG00000136279	DBNL	3440776
ENSG00000137727	ARHGAP20	3439177
ENSG00000113575	PPP2CA	3438940
ENSG00000197217	ENTPD4	3438068
ENSG00000050130	JKAMP	3437194
ENSG00000009844	VTA1	3437165
ENSG00000171817	ZNF540	3437162
ENSG00000175193	PARL	3436469
ENSG00000130724	CHMP2A	3436231
ENSG00000131389	SLC6A6	3436162
ENSG00000170091	NSG2	3436079
ENSG00000115073	ACTR1B	3435852
ENSG00000074842	MYDGF	3434998
ENSG00000170571	EMB	3433847
ENSG00000149547	EI24	3432904
ENSG00000166946	CCNDBP1	3432135
ENSG00000166762	CATSPER2	3431992
ENSG00000180398	MCFD2	3431486
ENSG00000213160	KLHL23	3431080
ENSG00000107902	LHPP	3429834
ENSG00000166444	DENND2B	3429545
ENSG00000164180	TMEM161B	3428130
ENSG00000149346	SLX4IP	3427972
ENSG00000275700	AATF	3427681
ENSG00000134986	NREP	3425914
ENSG00000105698	USF2	3425270
ENSG00000166260	COX11	3424111
ENSG00000110768	GTF2H1	3423758
ENSG00000142949	PTPRF	3423434
ENSG00000157181	ODR4	3423145
ENSG00000118640	VAMP8	3423063
ENSG00000137288	UQCC2	3422303
ENSG00000277363	SRCIN1	3422072
ENSG00000165527	ARF6	3421604
ENSG00000184983	NDUFA6	3421374
ENSG00000089022	MAPKAPK5	3419450
ENSG00000141480	ARRB2	3418828
ENSG00000159461	AMFR	3417894
ENSG00000154359	LONRF1	3416372
ENSG00000114670	NEK11	3415625
ENSG00000140299	BNIP2	3415421
ENSG00000143748	NVL	3415120
ENSG00000157782	CABP1	3414809
ENSG00000198089	SFI1	3414698
ENSG00000133997	MED6	3414577
ENSG00000257727	CNPY2	3414370
ENSG00000159388	BTG2	3412883
ENSG00000135823	STX6	3412662
ENSG00000166024	R3HCC1L	3412556
ENSG00000076928	ARHGEF1	3411722
ENSG00000001461	NIPAL3	3411660
ENSG00000070882	OSBPL3	3411235
ENSG00000101464	PIGU	3410795
ENSG00000142197	DOP1B	3410788
ENSG00000102309	PIN4	3409097
ENSG00000243449	C4orf48	3408676
ENSG00000101391	CDK5RAP1	3408006
ENSG00000127980	PEX1	3407618
ENSG00000115540	MOB4	3407569
ENSG00000116254	CHD5	3407152
ENSG00000165061	ZMAT4	3407098
ENSG00000174720	LARP7	3406091
ENSG00000185989	RASA3	3406049
ENSG00000111726	CMAS	3405514
ENSG00000122378	PRXL2A	3405002
ENSG00000133983	COX16	3404119
ENSG00000136935	GOLGA1	3404013
ENSG00000154263	ABCA10	3402165
ENSG00000066629	EML1	3401479
ENSG00000112367	FIG4	3401297
ENSG00000053108	FSTL4	3400308
ENSG00000134001	EIF2S1	3399993
ENSG00000170860	LSM3	3399608
ENSG00000100425	BRD1	3398964
ENSG00000113761	ZNF346	3398651
ENSG00000162885	B3GALNT2	3398073
ENSG00000205213	LGR4	3397852
ENSG00000119865	CNRIP1	3397037
ENSG00000160294	MCM3AP	3395530
ENSG00000070808	CAMK2A	3395489
ENSG00000140945	CDH13	3395253
ENSG00000172667	ZMAT3	3394607
ENSG00000117174	ZNHIT6	3393852
ENSG00000164970	FAM219A	3392646
ENSG00000196502	SULT1A1	3391271
ENSG00000124209	RAB22A	3391128
ENSG00000221823	PPP3R1	3390419
ENSG00000182732	RGS6	3390080
ENSG00000158296	SLC13A3	3390074
ENSG00000158623	COPG2	3390026
ENSG00000008282	SYPL1	3389544
ENSG00000139946	PELI2	3389061
ENSG00000103540	CCP110	3388654
ENSG00000169410	PTPN9	3387672
ENSG00000153989	NUS1	3385793
ENSG00000103222	ABCC1	3385508
ENSG00000137574	TGS1	3383656
ENSG00000165495	PKNOX2	3383311
ENSG00000117069	ST6GALNAC5	3383036
ENSG00000124702	KLHDC3	3381550
ENSG00000166004	CEP295	3381548
ENSG00000130725	UBE2M	3380761
ENSG00000163006	CCDC138	3380602
ENSG00000140474	ULK3	3379742
ENSG00000163463	KRTCAP2	3379572
ENSG00000105258	POLR2I	3379083
ENSG00000145912	NHP2	3378342
ENSG00000130755	GMFG	3377249
ENSG00000117899	MESD	3375974
ENSG00000136738	STAM	3375862
ENSG00000134490	TMEM241	3375631
ENSG00000150054	MPP7	3374849
ENSG00000085433	WDR47	3374190
ENSG00000203705	TATDN3	3373560
ENSG00000164169	PRMT9	3372662
ENSG00000250312	ZNF718	3372600
ENSG00000154146	NRGN	3372364
ENSG00000125249	RAP2A	3372305
ENSG00000137261	KIAA0319	3371310
ENSG00000101849	TBL1X	3371196
ENSG00000198612	COPS8	3370626
ENSG00000159200	RCAN1	3369904
ENSG00000107954	NEURL1	3368699
ENSG00000129353	SLC44A2	3368512
ENSG00000137872	SEMA6D	3368425
ENSG00000076864	RAP1GAP	3368139
ENSG00000145740	SLC30A5	3368087
ENSG00000229833	PET100	3367647
ENSG00000126351	THRA	3366737
ENSG00000188906	LRRK2	3366454
ENSG00000113805	CNTN3	3365961
ENSG00000168288	MMADHC	3365834
ENSG00000206562	METTL6	3364953
ENSG00000154473	BUB3	3364232
ENSG00000197894	ADH5	3362296
ENSG00000115825	PRKD3	3362113
ENSG00000146352	CLVS2	3361846
ENSG00000123933	MXD4	3361776
ENSG00000143753	DEGS1	3361306
ENSG00000119326	CTNNAL1	3360569
ENSG00000133943	DGLUCY	3360054
ENSG00000187147	RNF220	3359314
ENSG00000165672	PRDX3	3359241
ENSG00000146151	HMGCLL1	3358418
ENSG00000131871	SELENOS	3358352
ENSG00000126775	ATG14	3357784
ENSG00000188938	FAM120AOS	3356490
ENSG00000092094	OSGEP	3356058
ENSG00000111275	ALDH2	3355353
ENSG00000085982	USP40	3354841
ENSG00000141258	SGSM2	3354816
ENSG00000083828	ZNF586	3354461
ENSG00000072858	SIDT1	3353648
ENSG00000100083	GGA1	3353363
ENSG00000104643	MTMR9	3353266
ENSG00000117500	TMED5	3352951
ENSG00000108219	TSPAN14	3351626
ENSG00000153982	GDPD1	3351347
ENSG00000122490	SLC66A2	3351132
ENSG00000066382	MPPED2	3351041
ENSG00000163866	SMIM12	3350985
ENSG00000186088	GSAP	3350309
ENSG00000118276	B4GALT6	3349764
ENSG00000159788	RGS12	3348882
ENSG00000048342	CC2D2A	3348397
ENSG00000081803	CADPS2	3348193
ENSG00000151304	SRFBP1	3347870
ENSG00000171533	MAP6	3347600
ENSG00000135677	GNS	3347350
ENSG00000133818	RRAS2	3346962
ENSG00000060138	YBX3	3346103
ENSG00000118855	MFSD1	3345869
ENSG00000109736	MFSD10	3345546
ENSG00000222011	FAM185A	3345393
ENSG00000149923	PPP4C	3344198
ENSG00000181904	C5orf24	3343866
ENSG00000171100	MTM1	3342252
ENSG00000129159	KCNC1	3342173
ENSG00000137275	RIPK1	3340536
ENSG00000099800	TIMM13	3339723
ENSG00000090861	AARS1	3339675
ENSG00000081320	STK17B	3339085
ENSG00000100678	SLC8A3	3338653
ENSG00000134709	HOOK1	3337714
ENSG00000145216	FIP1L1	3337166
ENSG00000054116	TRAPPC3	3337099
ENSG00000159069	FBXW5	3336788
ENSG00000115750	TAF1B	3336753
ENSG00000123552	USP45	3336396
ENSG00000127989	MTERF1	3336322
ENSG00000179833	SERTAD2	3336171
ENSG00000166111	SVOP	3335993
ENSG00000173588	CEP83	3335729
ENSG00000103254	ANTKMT	3335703
ENSG00000132879	FBXO44	3335248
ENSG00000107949	BCCIP	3335221
ENSG00000174606	ANGEL2	3335158
ENSG00000141431	ASXL3	3334561
ENSG00000057019	DCBLD2	3334370
ENSG00000102038	SMARCA1	3334313
ENSG00000116977	LGALS8	3334155
ENSG00000214655	ZSWIM8	3334129
ENSG00000124507	PACSIN1	3333870
ENSG00000120697	ALG5	3333772
ENSG00000172775	PSME3IP1	3332882
ENSG00000145242	EPHA5	3331798
ENSG00000111906	HDDC2	3331537
ENSG00000198799	LRIG2	3331130
ENSG00000164054	SHISA5	3330303
ENSG00000153066	TXNDC11	3330181
ENSG00000142235	LMTK3	3329593
ENSG00000029639	TFB1M	3328212
ENSG00000196781	TLE1	3327481
ENSG00000048028	USP28	3327188
ENSG00000091972	CD200	3326000
ENSG00000129968	ABHD17A	3324990
ENSG00000131378	RFTN1	3324749
ENSG00000127152	BCL11B	3324658
ENSG00000147533	GOLGA7	3324004
ENSG00000141232	TOB1	3323066
ENSG00000156471	PTDSS1	3323057
ENSG00000090621	PABPC4	3322101
ENSG00000228253	MT-ATP8	3322092
ENSG00000138162	TACC2	3321903
ENSG00000134056	MRPS36	3321879
ENSG00000157036	EXOG	3321674
ENSG00000088766	CRLS1	3320352
ENSG00000186716	BCR	3320209
ENSG00000134153	EMC7	3318437
ENSG00000113369	ARRDC3	3318428
ENSG00000163565	IFI16	3318022
ENSG00000107281	NPDC1	3317218
ENSG00000144580	CNOT9	3316757
ENSG00000182831	HAPSTR1	3315233
ENSG00000149308	NPAT	3314598
ENSG00000120451	SNX19	3314081
ENSG00000137509	PRCP	3313841
ENSG00000198168	SVIP	3313761
ENSG00000179094	PER1	3313718
ENSG00000174456	C12orf76	3313003
ENSG00000154928	EPHB1	3312167
ENSG00000138463	SLC49A4	3311009
ENSG00000119729	RHOQ	3309152
ENSG00000127419	TMEM175	3308970
ENSG00000266412	NCOA4	3308793
ENSG00000002822	MAD1L1	3307859
ENSG00000134014	ELP3	3307537
ENSG00000081870	IFT25	3307184
ENSG00000125347	IRF1	3306878
ENSG00000125901	MRPS26	3306552
ENSG00000011523	CEP68	3305497
ENSG00000115694	STK25	3304315
ENSG00000130312	MRPL34	3304074
ENSG00000112981	NME5	3303175
ENSG00000135709	KIAA0513	3302342
ENSG00000103197	TSC2	3302193
ENSG00000009694	TENM1	3302120
ENSG00000118900	UBN1	3302056
ENSG00000196357	ZNF565	3300897
ENSG00000154429	CCSAP	3298707
ENSG00000067066	SP100	3298485
ENSG00000234444	ZNF736	3298185
ENSG00000143862	ARL8A	3298082
ENSG00000144559	TAMM41	3297031
ENSG00000110931	CAMKK2	3296869
ENSG00000144567	RETREG2	3296600
ENSG00000132405	TBC1D14	3296578
ENSG00000198060	MARCHF5	3296394
ENSG00000151468	CCDC3	3295829
ENSG00000143321	HDGF	3295728
ENSG00000163138	PACRGL	3295378
ENSG00000178188	SH2B1	3294954
ENSG00000156171	DRAM2	3294742
ENSG00000130731	METTL26	3294445
ENSG00000196177	ACADSB	3294006
ENSG00000089876	DHX32	3293257
ENSG00000142892	PIGK	3293225
ENSG00000204469	PRRC2A	3293202
ENSG00000139324	TMTC3	3292688
ENSG00000175866	BAIAP2	3291568
ENSG00000063978	RNF4	3291481
ENSG00000171103	TRMT61B	3290386
ENSG00000072201	LNX1	3289567
ENSG00000164038	SLC9B2	3289342
ENSG00000006530	AGK	3288868
ENSG00000167508	MVD	3288443
ENSG00000048540	LMO3	3287947
ENSG00000164061	BSN	3287272
ENSG00000100023	PPIL2	3286951
ENSG00000027001	MIPEP	3286948
ENSG00000143786	CNIH3	3286849
ENSG00000167081	PBX3	3286776
ENSG00000064225	ST3GAL6	3286421
ENSG00000061918	GUCY1B1	3286151
ENSG00000125995	ROMO1	3285827
ENSG00000198040	ZNF84	3285447
ENSG00000072415	PALS1	3284809
ENSG00000130856	ZNF236	3284707
ENSG00000148935	GAS2	3284589
ENSG00000134376	CRB1	3284449
ENSG00000163214	DHX57	3284285
ENSG00000158258	CLSTN2	3284252
ENSG00000083937	CHMP2B	3284228
ENSG00000106400	ZNHIT1	3284125
ENSG00000077684	JADE1	3283127
ENSG00000146555	SDK1	3282707
ENSG00000081791	DELE1	3281452
ENSG00000112511	PHF1	3281246
ENSG00000169442	CD52	3281227
ENSG00000130813	SHFL	3281124
ENSG00000107938	EDRF1	3281006
ENSG00000110048	OSBP	3280204
ENSG00000117298	ECE1	3280092
ENSG00000162236	STX5	3279903
ENSG00000105329	TGFB1	3279330
ENSG00000197226	TBC1D9B	3279296
ENSG00000144834	TAGLN3	3279150
ENSG00000119689	DLST	3278981
ENSG00000157538	VPS26C	3277847
ENSG00000164663	USP49	3277622
ENSG00000047578	KATNIP	3277551
ENSG00000213593	TMX2	3276569
ENSG00000102984	ZNF821	3275597
ENSG00000153561	RMND5A	3274651
ENSG00000011198	ABHD5	3274380
ENSG00000155256	ZFYVE27	3271949
ENSG00000168096	ANKS3	3271691
ENSG00000154767	XPC	3271351
ENSG00000166963	MAP1A	3270945
ENSG00000104361	NIPAL2	3270308
ENSG00000102030	NAA10	3270172
ENSG00000256223	ZNF10	3270147
ENSG00000147419	CCDC25	3270074
ENSG00000104365	IKBKB	3269668
ENSG00000076321	KLHL20	3269310
ENSG00000124299	PEPD	3269136
ENSG00000169570	DTWD2	3269110
ENSG00000102081	FMR1	3268374
ENSG00000138759	FRAS1	3267788
ENSG00000160299	PCNT	3267467
ENSG00000180304	OAZ2	3267357
ENSG00000066422	ZBTB11	3266725
ENSG00000084731	KIF3C	3266215
ENSG00000166272	WBP1L	3266175
ENSG00000196705	ZNF431	3265203
ENSG00000107242	PIP5K1B	3264825
ENSG00000007001	UPP2	3264145
ENSG00000108018	SORCS1	3262961
ENSG00000188735	TMEM120B	3262955
ENSG00000071205	ARHGAP10	3262387
ENSG00000116198	CEP104	3261738
ENSG00000171604	CXXC5	3260975
ENSG00000055813	CCDC85A	3260968
ENSG00000178764	ZHX2	3260456
ENSG00000198756	COLGALT2	3259789
ENSG00000157557	ETS2	3258634
ENSG00000131873	CHSY1	3258267
ENSG00000163510	CWC22	3256890
ENSG00000172530	BANP	3256115
ENSG00000075399	VPS9D1	3255767
ENSG00000204843	DCTN1	3255689
ENSG00000141699	RETREG3	3255618
ENSG00000039523	RIPOR1	3254958
ENSG00000197183	NOL4L	3254131
ENSG00000135441	BLOC1S1	3253919
ENSG00000182054	IDH2	3253636
ENSG00000141622	RNF165	3253460
ENSG00000136045	PWP1	3252969
ENSG00000122778	KIAA1549	3252705
ENSG00000123268	ATF1	3252399
ENSG00000081307	UBA5	3251745
ENSG00000100401	RANGAP1	3250912
ENSG00000204389	HSPA1A	3250530
ENSG00000162670	BRINP3	3250189
ENSG00000139971	ARMH4	3250043
ENSG00000100221	JOSD1	3250034
ENSG00000095203	EPB41L4B	3249751
ENSG00000198860	TSEN15	3248935
ENSG00000175215	CTDSP2	3248874
ENSG00000002834	LASP1	3248133
ENSG00000101350	KIF3B	3247945
ENSG00000108924	HLF	3247322
ENSG00000164100	NDST3	3245313
ENSG00000072401	UBE2D1	3243979
ENSG00000161671	EMC10	3243556
ENSG00000108389	MTMR4	3243497
ENSG00000138378	STAT4	3242684
ENSG00000164167	LSM6	3242346
ENSG00000145332	KLHL8	3242143
ENSG00000112078	KCTD20	3239975
ENSG00000174989	FBXW8	3239866
ENSG00000170160	CCDC144A	3239677
ENSG00000163319	MRPS18C	3238385
ENSG00000116095	PLEKHA3	3238092
ENSG00000132394	EEFSEC	3237085
ENSG00000167642	SPINT2	3235819
ENSG00000074071	MRPS34	3235720
ENSG00000171408	PDE7B	3235575
ENSG00000173486	FKBP2	3235519
ENSG00000163703	CRELD1	3235333
ENSG00000157426	AASDH	3235167
ENSG00000068383	INPP5A	3234217
ENSG00000072274	TFRC	3233979
ENSG00000165169	DYNLT3	3233136
ENSG00000166347	CYB5A	3232971
ENSG00000163584	RPL22L1	3232396
ENSG00000162374	ELAVL4	3232340
ENSG00000145868	FBXO38	3231123
ENSG00000087088	BAX	3230658
ENSG00000104112	SCG3	3230065
ENSG00000214941	ZSWIM7	3229580
ENSG00000185721	DRG1	3228886
ENSG00000123739	PLA2G12A	3227406
ENSG00000167110	GOLGA2	3227327
ENSG00000127528	KLF2	3226258
ENSG00000064601	CTSA	3225948
ENSG00000140367	UBE2Q2	3225500
ENSG00000129071	MBD4	3225192
ENSG00000086200	IPO11	3224699
ENSG00000182463	TSHZ2	3224114
ENSG00000144460	NYAP2	3223916
ENSG00000149639	SOGA1	3223896
ENSG00000240694	PNMA2	3223555
ENSG00000114125	RNF7	3222998
ENSG00000028277	POU2F2	3222326
ENSG00000170365	SMAD1	3221810
ENSG00000154917	RAB6B	3221397
ENSG00000120645	IQSEC3	3221006
ENSG00000111850	SMIM8	3220192
ENSG00000144468	RHBDD1	3220100
ENSG00000204590	GNL1	3220100
ENSG00000100478	AP4S1	3220016
ENSG00000132128	LRRC41	3219864
ENSG00000141542	RAB40B	3219029
ENSG00000162706	CADM3	3218719
ENSG00000148158	SNX30	3218095
ENSG00000147650	LRP12	3217754
ENSG00000149541	B3GAT3	3215997
ENSG00000169375	SIN3A	3215603
ENSG00000132199	ENOSF1	3215212
ENSG00000166986	MARS1	3214719
ENSG00000173598	NUDT4	3213995
ENSG00000148019	CEP78	3213536
ENSG00000198797	BRINP2	3213333
ENSG00000144815	NXPE3	3212922
ENSG00000063660	GPC1	3212754
ENSG00000105278	ZFR2	3212579
ENSG00000120860	WASHC3	3211920
ENSG00000115446	UNC50	3211849
ENSG00000184838	PRR16	3210379
ENSG00000171316	CHD7	3210128
ENSG00000114867	EIF4G1	3209863
ENSG00000073464	CLCN4	3209240
ENSG00000198846	TOX	3208371
ENSG00000132589	FLOT2	3207777
ENSG00000169604	ANTXR1	3207742
ENSG00000177169	ULK1	3207378
ENSG00000179532	DNHD1	3206715
ENSG00000139117	CPNE8	3205937
ENSG00000171467	ZNF318	3205554
ENSG00000135537	AFG1L	3205433
ENSG00000196704	AMZ2	3205099
ENSG00000165591	FAAH2	3204835
ENSG00000101158	NELFCD	3204744
ENSG00000176454	LPCAT4	3204736
ENSG00000110844	PRPF40B	3204477
ENSG00000154655	L3MBTL4	3204243
ENSG00000119421	NDUFA8	3204237
ENSG00000106346	USP42	3204068
ENSG00000143771	CNIH4	3204062
ENSG00000185324	CDK10	3203511
ENSG00000213551	DNAJC9	3203437
ENSG00000100281	HMGXB4	3203355
ENSG00000127328	RAB3IP	3203341
ENSG00000155980	KIF5A	3203001
ENSG00000164104	HMGB2	3202845
ENSG00000141127	PRPSAP2	3202793
ENSG00000007923	DNAJC11	3202507
ENSG00000100591	AHSA1	3202379
ENSG00000053770	AP5M1	3202371
ENSG00000172071	EIF2AK3	3201945
ENSG00000136490	LIMD2	3200929
ENSG00000164929	BAALC	3200596
ENSG00000112242	E2F3	3200146
ENSG00000142230	SAE1	3200093
ENSG00000135047	CTSL	3199970
ENSG00000142784	WDTC1	3199201
ENSG00000152219	ARL14EP	3199179
ENSG00000066557	LRRC40	3198528
ENSG00000107651	SEC23IP	3198236
ENSG00000101542	CDH20	3197746
ENSG00000135643	KCNMB4	3197664
ENSG00000082641	NFE2L1	3197607
ENSG00000143473	KCNH1	3197043
ENSG00000010270	STARD3NL	3196973
ENSG00000160208	RRP1B	3196736
ENSG00000164040	PGRMC2	3196426
ENSG00000077616	NAALAD2	3196152
ENSG00000176771	NCKAP5	3195719
ENSG00000104894	CD37	3195242
ENSG00000116649	SRM	3194488
ENSG00000173542	MOB1B	3194149
ENSG00000183579	ZNRF3	3193500
ENSG00000137513	NARS2	3192693
ENSG00000078902	TOLLIP	3191933
ENSG00000140400	MAN2C1	3191415
ENSG00000126005	MMP24OS	3190923
ENSG00000023909	GCLM	3188300
ENSG00000132563	REEP2	3187740
ENSG00000108344	PSMD3	3187226
ENSG00000127054	INTS11	3187104
ENSG00000102931	ARL2BP	3186882
ENSG00000159579	RSPRY1	3186017
ENSG00000065665	SEC61A2	3185227
ENSG00000149182	ARFGAP2	3184766
ENSG00000101413	RPRD1B	3183536
ENSG00000170638	TRABD	3183421
ENSG00000139323	POC1B	3183146
ENSG00000067704	IARS2	3182501
ENSG00000169783	LINGO1	3182438
ENSG00000172575	RASGRP1	3182431
ENSG00000155621	C9orf85	3181742
ENSG00000136040	PLXNC1	3181530
ENSG00000129534	MIS18BP1	3181230
ENSG00000162804	SNED1	3179130
ENSG00000176871	WSB2	3178955
ENSG00000134590	RTL8C	3177338
ENSG00000086062	B4GALT1	3177263
ENSG00000139722	VPS37B	3176890
ENSG00000166862	CACNG2	3175772
ENSG00000061273	HDAC7	3174547
ENSG00000124562	SNRPC	3174365
ENSG00000160679	CHTOP	3174182
ENSG00000159216	RUNX1	3173452
ENSG00000146267	FAXC	3172875
ENSG00000114999	TTL	3172583
ENSG00000036530	CYP46A1	3172563
ENSG00000103152	MPG	3172286
ENSG00000106344	RBM28	3172026
ENSG00000127946	HIP1	3169987
ENSG00000083750	RRAGB	3169672
ENSG00000204104	TRAF3IP1	3169523
ENSG00000182534	MXRA7	3169012
ENSG00000101493	ZNF516	3166828
ENSG00000145428	RNF175	3166718
ENSG00000112983	BRD8	3166682
ENSG00000187323	DCC	3165035
ENSG00000103707	MTFMT	3164517
ENSG00000131409	LRRC4B	3163883
ENSG00000167491	GATAD2A	3163185
ENSG00000137055	PLAA	3162639
ENSG00000176225	RTTN	3160905
ENSG00000164619	BMPER	3160327
ENSG00000176623	RMDN1	3159667
ENSG00000148341	SH3GLB2	3159419
ENSG00000279170	TSTD3	3158889
ENSG00000151491	EPS8	3158813
ENSG00000100994	PYGB	3158682
ENSG00000117519	CNN3	3156696
ENSG00000103227	LMF1	3156432
ENSG00000185158	LRRC37B	3156245
ENSG00000168395	ING5	3155871
ENSG00000117360	PRPF3	3155832
ENSG00000111481	COPZ1	3155522
ENSG00000205133	TRIQK	3155112
ENSG00000111266	DUSP16	3153638
ENSG00000071462	BUD23	3153204
ENSG00000163428	LRRC58	3152841
ENSG00000058866	DGKG	3152734
ENSG00000118412	CASP8AP2	3152627
ENSG00000114648	KLHL18	3152057
ENSG00000204677	FAM153CP	3151365
ENSG00000104419	NDRG1	3150243
ENSG00000119004	CYP20A1	3149914
ENSG00000101210	EEF1A2	3149535
ENSG00000163686	ABHD6	3149180
ENSG00000205269	TMEM170B	3148452
ENSG00000164961	WASHC5	3148358
ENSG00000132522	GPS2	3147494
ENSG00000102125	TAFAZZIN	3146823
ENSG00000173221	GLRX	3146267
ENSG00000117448	AKR1A1	3146160
ENSG00000179950	PUF60	3145855
ENSG00000107262	BAG1	3145699
ENSG00000150275	PCDH15	3145651
ENSG00000154975	CA10	3145148
ENSG00000111540	RAB5B	3144862
ENSG00000156564	LRFN2	3143186
ENSG00000164073	MFSD8	3143058
ENSG00000153107	ANAPC1	3142433
ENSG00000196072	BLOC1S2	3141863
ENSG00000186318	BACE1	3141811
ENSG00000139168	ZCRB1	3141752
ENSG00000146007	ZMAT2	3141479
ENSG00000173020	GRK2	3141042
ENSG00000165417	GTF2A1	3140265
ENSG00000150907	FOXO1	3138837
ENSG00000067955	CBFB	3138194
ENSG00000137500	CCDC90B	3137879
ENSG00000171617	ENC1	3137696
ENSG00000072135	PTPN18	3137020
ENSG00000134954	ETS1	3136940
ENSG00000165275	TRMT10B	3136020
ENSG00000119321	FKBP15	3135966
ENSG00000130313	PGLS	3135786
ENSG00000134452	FBH1	3135595
ENSG00000172340	SUCLG2	3135208
ENSG00000214050	FBXO16	3135155
ENSG00000129295	DNAAF11	3135136
ENSG00000059122	FLYWCH1	3135016
ENSG00000113966	ARL6	3134691
ENSG00000172733	PURG	3134314
ENSG00000149089	APIP	3133889
ENSG00000072210	ALDH3A2	3133569
ENSG00000109016	DHRS7B	3132969
ENSG00000197562	RAB40C	3132715
ENSG00000246922	UBAP1L	3132650
ENSG00000099977	DDT	3131856
ENSG00000183087	GAS6	3131756
ENSG00000058262	SEC61A1	3131497
ENSG00000164199	ADGRV1	3130825
ENSG00000103671	TRIP4	3130174
ENSG00000211460	TSN	3129201
ENSG00000185033	SEMA4B	3127535
ENSG00000100100	PIK3IP1	3127500
ENSG00000250305	TRMT9B	3127268
ENSG00000131981	LGALS3	3126386
ENSG00000175395	ZNF25	3125765
ENSG00000110619	CARS1	3125672
ENSG00000138670	RASGEF1B	3125584
ENSG00000120159	CAAP1	3125322
ENSG00000133704	IPO8	3124648
ENSG00000123213	NLN	3124549
ENSG00000033030	ZCCHC8	3122131
ENSG00000134107	BHLHE40	3122060
ENSG00000173875	ZNF791	3121804
ENSG00000103145	HCFC1R1	3121700
ENSG00000159445	THEM4	3121564
ENSG00000109819	PPARGC1A	3120831
ENSG00000080709	KCNN2	3120555
ENSG00000154889	MPPE1	3120432
ENSG00000114744	COMMD2	3120032
ENSG00000184831	APOO	3119391
ENSG00000160087	UBE2J2	3119186
ENSG00000119878	CRIPT	3118806
ENSG00000163743	RCHY1	3118798
ENSG00000217555	CKLF	3118300
ENSG00000179820	MYADM	3118127
ENSG00000064309	CDON	3117767
ENSG00000164609	SLU7	3117467
ENSG00000164953	TMEM67	3116665
ENSG00000128513	POT1	3116601
ENSG00000145414	NAF1	3116239
ENSG00000073712	FERMT2	3116158
ENSG00000204642	HLA-F	3115934
ENSG00000145354	CISD2	3115193
ENSG00000145247	OCIAD2	3113662
ENSG00000170632	ARMC10	3113464
ENSG00000108433	GOSR2	3112111
ENSG00000120802	TMPO	3112040
ENSG00000167702	KIFC2	3111857
ENSG00000111203	ITFG2	3110769
ENSG00000135503	ACVR1B	3110614
ENSG00000127884	ECHS1	3110000
ENSG00000143624	INTS3	3108491
ENSG00000013293	SLC7A14	3108077
ENSG00000181929	PRKAG1	3107388
ENSG00000143079	CTTNBP2NL	3106584
ENSG00000135333	EPHA7	3106396
ENSG00000213523	SRA1	3106315
ENSG00000116299	ELAPOR1	3104519
ENSG00000165943	MOAP1	3104108
ENSG00000152944	MED21	3103444
ENSG00000124126	PREX1	3103365
ENSG00000165733	BMS1	3103203
ENSG00000128463	EMC4	3103132
ENSG00000135205	CCDC146	3102176
ENSG00000100568	VTI1B	3100988
ENSG00000152582	SPEF2	3100925
ENSG00000165916	PSMC3	3100875
ENSG00000106588	PSMA2	3100854
ENSG00000196465	MYL6B	3100616
ENSG00000135185	TMEM243	3100515
ENSG00000197860	SGTB	3100087
ENSG00000137502	RAB30	3099783
ENSG00000155099	PIP4P2	3099500
ENSG00000164323	CFAP97	3099450
ENSG00000131446	MGAT1	3098983
ENSG00000170584	NUDCD2	3094488
ENSG00000172590	MRPL52	3094325
ENSG00000203965	EFCAB7	3094014
ENSG00000176209	SMIM19	3093150
ENSG00000185475	TMEM179B	3092819
ENSG00000166448	TMEM130	3092464
ENSG00000133884	DPF2	3091122
ENSG00000053900	ANAPC4	3091035
ENSG00000198597	ZNF536	3090307
ENSG00000151726	ACSL1	3089839
ENSG00000115368	WDR75	3089695
ENSG00000180822	PSMG4	3088765
ENSG00000107130	NCS1	3087559
ENSG00000118402	ELOVL4	3087478
ENSG00000115548	KDM3A	3087425
ENSG00000168813	ZNF507	3087002
ENSG00000011376	LARS2	3086493
ENSG00000090487	SPG21	3086363
ENSG00000104823	ECH1	3086195
ENSG00000172922	RNASEH2C	3085761
ENSG00000168781	PPIP5K1	3085738
ENSG00000029364	SLC39A9	3084845
ENSG00000241962	ENSG00000241962.9	3083597
ENSG00000198838	RYR3	3082665
ENSG00000107362	ABHD17B	3082176
ENSG00000171311	EXOSC1	3081760
ENSG00000146830	GIGYF1	3081188
ENSG00000111581	NUP107	3078951
ENSG00000119688	ABCD4	3078557
ENSG00000138107	ACTR1A	3077893
ENSG00000126705	AHDC1	3076391
ENSG00000100099	HPS4	3076230
ENSG00000092847	AGO1	3076103
ENSG00000196505	GDAP2	3075619
